Circunsc.,Comarca, RL,%Hablantes
ALACANT,L'Alacantí,r1,"29,8"
ALACANT,El Baix Vinalopó,r1,"43,4"
ALACANT,La Marina Baixa,r1,"47,1"
ALACANT,La Marina Alta,r2,"71,1"
ALACANT,L'Alcoià,r2,"73,2"
VALÈNCIA,La Safor,r2,87
VALÈNCIA,La Vall d'Albaida,r2,"87,9"
ALACANT,El Comtat,r2,"91,6"
VALÈNCIA,Valencia,r3,"43,3"
VALÈNCIA,L'Horta Nord,r3,"60,4"
VALÈNCIA,L'Horta Sud,r3,"62,2"
VALÈNCIA,El Camp de Morvedre,r4,"47,1"
VALÈNCIA,El Camp de Túria,r4,"75,7"
VALÈNCIA,La Costera,r4,"86,2"
VALÈNCIA,La Ribera Alta,r4,"86,4"
VALÈNCIA,La Ribera Baixa,r4,88
CASTELLÓ,La Plana Alta,r5,65
CASTELLÓ,La Plana Baixa,r5,74
CASTELLÓ,L'Alcalatén,r5,"79,3"
CASTELLÓ,El Baix Maestrat,r5,"80,6"
CASTELLÓ,Els Ports,r5,"92,2"
CASTELLÓ,L'Alt Maestrat,r5,"95,6"
VALÈNCIA,El Rincón de Ademuz,r6,"2,2"
VALÈNCIA,La Plana de Utiel-Requena,r6,"2,8"
VALÈNCIA,El Valle de Cofrentes-Ayora,r6,"4,2"
CASTELLÓ,El Alto Mijares,r6,"7,4"
VALÈNCIA,La Serrania,r6,8
CASTELLÓ,El Alto Palancia,r6,"11,2"
VALÈNCIA,La Hoya de Buñol,r6,"13,7"
VALÈNCIA,La Canal de Navarrés,r6,"14,4"
ALACANT,El Baix Segura/La Vega Baja,r7,"3,4"
ALACANT,L'Alt Vinalopó/El Alto Vinalopó,r7,17
ALACANT,El Vinalopó Mitjà,r7,"43,4"
