Elecció ,Cens ,A Cand. ,PP,PSPV,COMPROMÍS,VOX,PODEMOS,Cs,EUPV, RESTA 
G-2023,124383,90477,29545,31386,15855,12462, , , ,1229
A-2023,124367,86496,28245,25559,19953,8282,2234,591, ,1859
L-2023,127096,88398,27174,28953,15703,3126,120,364,1143,11795
G-2019,121791,86427,19634,23322,10644,14008,11334,5559, ,1926
E-2019,123535,84970,19128,25797,15919,4818,6621,8761, ,3926
L-2019,124552,86268,23328,26289,19803,1910,1155,4541,1197,8044
G-2019,121169,91121,17053,24221,12670,9220,12072,13592, ,2293
A-2019,121181,89534,17325,19867,23504,7666,5917,12394, ,2861
G-2016,120885,89315,31958,17762,26145,175, ,10997, ,2278
G-2015,121198,92147,29701,17780,26513,216, ,11797,3625,2733
A-2015,121362,90086,26377,18226,24789,207,6845,7668,3129,2845
L-2015,124923,91561,31165,23573,22653, , ,2399,2879,8891
E-2014,123492,65696,20299,14271,10238,804,4183,1082,5968,8851
G-2011,121145,93460,51489,23226,8662, , , ,4830,5253
A-2011,120877,92475,47413,25159,12366, , , ,3323,4214
L-2011,125385,95207,39084,29716,15794, , , ,2490,8121
E-2009,122209,69449,37978,24439,2362, , , ,1448,3222
G-2008,119624,96625,52178,36283,3065, , ,43,2431,2625
A-2007,119109,90705,46558,29321,11050, , , , ,3776
L-2007,125273,92551,32726,34861,11735, , , ,3660,9564
E-2004,117291,64524,32086,26012,2496, , , ,1480,2450
G-2004,116200,91806,43472,36890,5548, , , ,3371,2525
A-2003,116160,90337,41220,31192,10891, , , ,3145,3889
L-2003,119063,90946,36234,34751,13523, , , ,1494,4947
G-2000,117048,88482,45912,28263,6105, , , ,3960,4242
E-1999,116965,85934,39652,29270,6453, , , ,3856,6701
A-1999,117654,87007,40176,27696,9066, , , ,3782,6287
L-1999,118971,87061,35050,30947,9963, , , ,3088,8008
G-1996,110553,91884,38645,34756,4072, , , ,8829,5582
A-1995,108888,86600,32374,29415,7600, , , ,7503,9708
L-1995,111064,86705,30165,30074,10068, , , ,6456,9940
E-1994,107647,74158,31027,21913,4511, , , ,8768,7939
G-1993,104543,87196,34786,30647,5965, , , ,7448,8350
A-1991,102923,78619,19181,30884,7998, , , ,5313,15243
L-1991,103457,78595,19648,29457,5595, , , ,6544,17348
G-1989,100620,78540,19950,30258,4720, , , ,5749,17863
E-1989,99693,64465,15266,26063,4446, , , ,3325,15365
E-1987,97033,75551,17574,29837, , , , ,2797,25343
A-1987,97022,75807,17142,28744, , , , ,9042,20879
L-1987,97110,75701,17982,25864, , , , ,12811,19044
G-1986,98593,77208,22095,34871,4292, , , ,2985,12965
A-1983,94401,72681,22015,30781,5823, , , ,5815,8247
L-1983,94401,72689,19365,28729,5181, , , ,7803,11611
G-1982,91170,76611,24074,38701,2313, , , ,3510,8013
L-1979,89925,66689,1716,17809, , , , ,8944,38220
G-1979,89905,70077,2689,24979, , , , ,7351,35058
G-1977,80149,67591,3511,27823, , , , ,4567,31690
